HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2019-09-05 21:00,2019-09-05 23:00,SYSTEM,224.63,30.12
2019-09-05 21:00,2019-09-05 23:00,SE4,235.66,31.6
2019-09-05 21:00,2019-09-05 23:00,SE3,235.66,31.6
2019-09-05 21:00,2019-09-05 23:00,NO2,223.43,29.96
2019-09-05 21:00,2019-09-05 23:00,DK2,235.66,31.6
2019-09-05 21:00,2019-09-05 23:00,DK1,223.43,29.96
2019-09-05 20:00,2019-09-05 22:00,SYSTEM,250.58,33.6
2019-09-05 20:00,2019-09-05 22:00,SE4,264.97,35.53
2019-09-05 20:00,2019-09-05 22:00,SE3,264.97,35.53
2019-09-05 20:00,2019-09-05 22:00,NO2,232.53,31.18
2019-09-05 20:00,2019-09-05 22:00,DK2,264.97,35.53
2019-09-05 20:00,2019-09-05 22:00,DK1,232.53,31.18
2019-09-05 19:00,2019-09-05 21:00,SYSTEM,263.48,35.33
2019-09-05 19:00,2019-09-05 21:00,SE4,279.74,37.51
2019-09-05 19:00,2019-09-05 21:00,SE3,279.74,37.51
2019-09-05 19:00,2019-09-05 21:00,NO2,234.92,31.5
2019-09-05 19:00,2019-09-05 21:00,DK2,279.74,37.51
2019-09-05 19:00,2019-09-05 21:00,DK1,234.92,31.5
2019-09-05 18:00,2019-09-05 20:00,SYSTEM,265.57,35.61
2019-09-05 18:00,2019-09-05 20:00,SE4,287.27,38.52
2019-09-05 18:00,2019-09-05 20:00,SE3,287.27,38.52
2019-09-05 18:00,2019-09-05 20:00,NO2,233.43,31.3
2019-09-05 18:00,2019-09-05 20:00,DK2,305.17,40.92
2019-09-05 18:00,2019-09-05 20:00,DK1,233.43,31.3
2019-09-05 17:00,2019-09-05 19:00,SYSTEM,267.36,35.85
2019-09-05 17:00,2019-09-05 19:00,SE4,281.16,37.7
2019-09-05 17:00,2019-09-05 19:00,SE3,281.16,37.7
2019-09-05 17:00,2019-09-05 19:00,NO2,236.86,31.76
2019-09-05 17:00,2019-09-05 19:00,DK2,297.94,39.95
2019-09-05 17:00,2019-09-05 19:00,DK1,236.86,31.76
2019-09-05 16:00,2019-09-05 18:00,SYSTEM,259.01,34.73
2019-09-05 16:00,2019-09-05 18:00,SE4,267.96,35.93
2019-09-05 16:00,2019-09-05 18:00,SE3,267.96,35.93
2019-09-05 16:00,2019-09-05 18:00,NO2,234.02,31.38
2019-09-05 16:00,2019-09-05 18:00,DK2,267.96,35.93
2019-09-05 16:00,2019-09-05 18:00,DK1,234.02,31.38
2019-09-05 15:00,2019-09-05 17:00,SYSTEM,255.58,34.27
2019-09-05 15:00,2019-09-05 17:00,SE4,262.14,35.15
2019-09-05 15:00,2019-09-05 17:00,SE3,262.14,35.15
2019-09-05 15:00,2019-09-05 17:00,NO2,230.89,30.96
2019-09-05 15:00,2019-09-05 17:00,DK2,262.14,35.15
2019-09-05 15:00,2019-09-05 17:00,DK1,230.89,30.96
2019-09-05 14:00,2019-09-05 16:00,SYSTEM,245.43,32.91
2019-09-05 14:00,2019-09-05 16:00,SE4,260.8,34.97
2019-09-05 14:00,2019-09-05 16:00,SE3,260.8,34.97
2019-09-05 14:00,2019-09-05 16:00,NO2,215.15,28.85
2019-09-05 14:00,2019-09-05 16:00,DK2,260.8,34.97
2019-09-05 14:00,2019-09-05 16:00,DK1,217.47,29.16
2019-09-05 13:00,2019-09-05 15:00,SYSTEM,235.66,31.6
2019-09-05 13:00,2019-09-05 15:00,SE4,260.42,34.92
2019-09-05 13:00,2019-09-05 15:00,SE3,260.42,34.92
2019-09-05 13:00,2019-09-05 15:00,NO2,205.16,27.51
2019-09-05 13:00,2019-09-05 15:00,DK2,260.42,34.92
2019-09-05 13:00,2019-09-05 15:00,DK1,202.85,27.2
2019-09-05 12:00,2019-09-05 14:00,SYSTEM,233.35,31.29
2019-09-05 12:00,2019-09-05 14:00,SE4,262.66,35.22
2019-09-05 12:00,2019-09-05 14:00,SE3,262.66,35.22
2019-09-05 12:00,2019-09-05 14:00,NO2,199.05,26.69
2019-09-05 12:00,2019-09-05 14:00,DK2,262.66,35.22
2019-09-05 12:00,2019-09-05 14:00,DK1,199.05,26.69
2019-09-05 11:00,2019-09-05 13:00,SYSTEM,241.41,32.37
2019-09-05 11:00,2019-09-05 13:00,SE4,261.84,35.11
2019-09-05 11:00,2019-09-05 13:00,SE3,261.84,35.11
2019-09-05 11:00,2019-09-05 13:00,NO2,202.85,27.2
2019-09-05 11:00,2019-09-05 13:00,DK2,261.84,35.11
2019-09-05 11:00,2019-09-05 13:00,DK1,202.85,27.2
2019-09-05 10:00,2019-09-05 12:00,SYSTEM,242.97,32.58
2019-09-05 10:00,2019-09-05 12:00,SE4,260.2,34.89
2019-09-05 10:00,2019-09-05 12:00,SE3,260.2,34.89
2019-09-05 10:00,2019-09-05 12:00,NO2,203.67,27.31
2019-09-05 10:00,2019-09-05 12:00,DK2,260.2,34.89
2019-09-05 10:00,2019-09-05 12:00,DK1,201.88,27.07
2019-09-05 09:00,2019-09-05 11:00,SYSTEM,254.46,34.12
2019-09-05 09:00,2019-09-05 11:00,SE4,267.28,35.84
2019-09-05 09:00,2019-09-05 11:00,SE3,267.28,35.84
2019-09-05 09:00,2019-09-05 11:00,NO2,220.82,29.61
2019-09-05 09:00,2019-09-05 11:00,DK2,267.28,35.84
2019-09-05 09:00,2019-09-05 11:00,DK1,222.61,29.85
2019-09-05 08:00,2019-09-05 10:00,SYSTEM,260.94,34.99
2019-09-05 08:00,2019-09-05 10:00,SE4,268.48,36.0
2019-09-05 08:00,2019-09-05 10:00,SE3,268.48,36.0
2019-09-05 08:00,2019-09-05 10:00,NO2,246.1,33.0
2019-09-05 08:00,2019-09-05 10:00,DK2,268.48,36.0
2019-09-05 08:00,2019-09-05 10:00,DK1,248.12,33.27
2019-09-05 07:00,2019-09-05 09:00,SYSTEM,270.27,36.24
2019-09-05 07:00,2019-09-05 09:00,SE4,277.35,37.19
2019-09-05 07:00,2019-09-05 09:00,SE3,277.35,37.19
2019-09-05 07:00,2019-09-05 09:00,NO2,263.41,35.32
2019-09-05 07:00,2019-09-05 09:00,DK2,277.35,37.19
2019-09-05 07:00,2019-09-05 09:00,DK1,277.35,37.19
2019-09-05 06:00,2019-09-05 08:00,SYSTEM,281.45,37.74
2019-09-05 06:00,2019-09-05 08:00,SE4,295.4,39.61
2019-09-05 06:00,2019-09-05 08:00,SE3,291.15,39.04
2019-09-05 06:00,2019-09-05 08:00,NO2,282.2,37.84
2019-09-05 06:00,2019-09-05 08:00,DK2,302.71,40.59
2019-09-05 06:00,2019-09-05 08:00,DK1,302.71,40.59
2019-09-05 05:00,2019-09-05 07:00,SYSTEM,272.36,36.52
2019-09-05 05:00,2019-09-05 07:00,SE4,288.39,38.67
2019-09-05 05:00,2019-09-05 07:00,SE3,280.86,37.66
2019-09-05 05:00,2019-09-05 07:00,NO2,280.63,37.63
2019-09-05 05:00,2019-09-05 07:00,DK2,295.47,39.62
2019-09-05 05:00,2019-09-05 07:00,DK1,295.47,39.62
2019-09-05 04:00,2019-09-05 06:00,SYSTEM,249.01,33.39
2019-09-05 04:00,2019-09-05 06:00,SE4,255.5,34.26
2019-09-05 04:00,2019-09-05 06:00,SE3,255.5,34.26
2019-09-05 04:00,2019-09-05 06:00,NO2,238.2,31.94
2019-09-05 04:00,2019-09-05 06:00,DK2,255.5,34.26
2019-09-05 04:00,2019-09-05 06:00,DK1,251.18,33.68
2019-09-05 03:00,2019-09-05 05:00,SYSTEM,221.27,29.67
2019-09-05 03:00,2019-09-05 05:00,SE4,220.0,29.5
2019-09-05 03:00,2019-09-05 05:00,SE3,220.0,29.5
2019-09-05 03:00,2019-09-05 05:00,NO2,213.59,28.64
2019-09-05 03:00,2019-09-05 05:00,DK2,220.0,29.5
2019-09-05 03:00,2019-09-05 05:00,DK1,196.44,26.34
2019-09-05 02:00,2019-09-05 04:00,SYSTEM,206.43,27.68
2019-09-05 02:00,2019-09-05 04:00,SE4,213.66,28.65
2019-09-05 02:00,2019-09-05 04:00,SE3,213.66,28.65
2019-09-05 02:00,2019-09-05 04:00,NO2,194.42,26.07
2019-09-05 02:00,2019-09-05 04:00,DK2,213.66,28.65
2019-09-05 02:00,2019-09-05 04:00,DK1,183.91,24.66
2019-09-05 01:00,2019-09-05 03:00,SYSTEM,199.72,26.78
2019-09-05 01:00,2019-09-05 03:00,SE4,206.13,27.64
2019-09-05 01:00,2019-09-05 03:00,SE3,206.13,27.64
2019-09-05 01:00,2019-09-05 03:00,NO2,179.66,24.09
2019-09-05 01:00,2019-09-05 03:00,DK2,206.13,27.64
2019-09-05 01:00,2019-09-05 03:00,DK1,179.66,24.09
2019-09-05 00:00,2019-09-05 02:00,SYSTEM,203.89,27.34
2019-09-05 00:00,2019-09-05 02:00,SE4,211.28,28.33
2019-09-05 00:00,2019-09-05 02:00,SE3,211.28,28.33
2019-09-05 00:00,2019-09-05 02:00,NO2,188.68,25.3
2019-09-05 00:00,2019-09-05 02:00,DK2,188.68,25.3
2019-09-05 00:00,2019-09-05 02:00,DK1,188.68,25.3
